Lamnda(nm)	A. Metílico	E. Petróleo	Beta (E. Etílico)	Alpha (E. Petróleo)
380	78.1	89.3	54.9	0.8
390	75.8	89.6	46.8	0.6
400	72.7	89.7	39.3	0.5
410	69.1	90	25.9	0.5
420	67	89.8	21.2	0.4
430	66.6	89.8	19.2	0.3
440	65.2	89.9	13.8	0.4
450	67.6	89.9	15.2	0.4
460	72	90.1	19.1	2.6
470	72.5	90.1	21.5	5.4
480	77.7	90.2	33.7	12
490	84.3	90.4	58	23.2
500	88	90.3	80.3	40.8
510	89.5	90.5	51.9	53.1
520	89.9	90.5	52.2	53.1
530	89.6	90.4	92.2	46.1
540	89.7	90.4	92	44.9
550	89.7	90.5	92	46.7
560	89.7	90.3	90.1	40.2
570	89.6	90.6	92.1	28.3
580	89.6	90.6	88.8	23.1
590	89.4	90.5	88.8	24.4
600	89.2	90.5	89.6	17.5
610	88.7	90.5	88.5	10.3
620	88.3	90.5	85.3	8.4
630	88.9	90.5	80.3	9.2
640	86.9	90.5	77.9	4.6
650	85.8	90.4	82.8	1.2
660	84.9	90.4	88.2	0.5
670	88.3	90.5	89.8	0.7
680	90.1	90.5	94.1	5.1
690	90.2	90.4	97.6	20.8
700	90.7	90.4	98.3	47
710	90.5	90.5	99	68
