Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16070	     	    20505	     	     1611
        0	     	        0	     	    16145	     	    20637	     	     1669
        0	     	        0	     	    16108	     	    20546	     	     1643
        0	     	        0	     	    15941	     	    20689	     	     1630
        0	     	        0	     	    16246	     	    20389	     	     1617
        0	     	        0	     	    16365	     	    20615	     	     1613
        0	     	        0	     	    16031	     	    20625	     	     1660
        0	     	        0	     	    16228	     	    20901	     	     1719
        0	     	        0	     	    16227	     	    20369	     	     1503
        0	     	        0	     	    16171	     	    20726	     	     1703
        0	     	        0	     	    16247	     	    20691	     	     1682
        0	     	        0	     	    16227	     	    20328	     	     1690
        0	     	        0	     	    16158	     	    20482	     	     1590
        0	     	        0	     	    16208	     	    20561	     	     1651
        0	     	        0	     	    16293	     	    20456	     	     1633
        0	     	        0	     	    16023	     	    20808	     	     1588
        0	     	        0	     	    15921	     	    20659	     	     1604
        0	     	        0	     	    16118	     	    20427	     	     1613
        0	     	        0	     	    16435	     	    20526	     	     1722
        0	     	        0	     	    16270	     	    20716	     	     1600
