Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16391	     	    21871	     	     1607
        0	     	        0	     	    16402	     	    21759	     	     1500
        0	     	        0	     	    16258	     	    21674	     	     1593
        0	     	        0	     	    16216	     	    21420	     	     1489
        0	     	        0	     	    16200	     	    21705	     	     1550
        0	     	        0	     	    16206	     	    21637	     	     1516
        0	     	        0	     	    16164	     	    21620	     	     1512
        0	     	        0	     	    16450	     	    21855	     	     1546
        0	     	        0	     	    16417	     	    21837	     	     1593
        0	     	        0	     	    16426	     	    21326	     	     1421
        0	     	        0	     	    16213	     	    21416	     	     1467
        0	     	        0	     	    16356	     	    21691	     	     1534
        0	     	        0	     	    16299	     	    21227	     	     1516
        0	     	        0	     	    16347	     	    21314	     	     1566
        0	     	        0	     	    16278	     	    21684	     	     1570
        0	     	        0	     	    16229	     	    21484	     	     1543
        0	     	        0	     	    16449	     	    21612	     	     1519
        0	     	        0	     	    16319	     	    21713	     	     1559
        0	     	        0	     	    16318	     	    21458	     	     1460
        0	     	        0	     	    16421	     	    21627	     	     1579
