Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
0	     	0	     	17393	     	19722	     	2176
0	     	0	     	16996	     	19945	     	2192
0	     	0	     	17203	     	19678	     	2161
0	     	0	     	17101	     	19737	     	2234
0	     	0	     	17321	     	19466	     	2272
0	     	0	     	17310	     	19626	     	2180
0	     	0	     	17355	     	19852	     	2322
0	     	0	     	17191	     	19739	     	2233
0	     	0	     	17190	     	19684	     	2141
0	     	0	     	17067	     	19660	     	2160
0	     	0	     	17111	     	20080	     	2253
0	     	0	     	17147	     	19837	     	2174
0	     	0	     	17230	     	19967	     	2169
0	     	0	     	17272	     	19763	     	2252
0	     	0	     	17130	     	19760	     	2236
0	     	0	     	17048	     	19630	     	2180
0	     	0	     	17247	     	19830	     	2207
0	     	0	     	17227	     	20097	     	2179
0	     	0	     	17128	     	19742	     	2135
0	     	0	     	17190	     	19645	     	2173
								
							Promedio	2201,45
