Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
0	     	0	     	16176	     	21262	     	1734
0	     	0	     	15964	     	21207	     	1620
0	     	0	     	16211	     	21185	     	1739
0	     	0	     	15893	     	21275	     	1754
0	     	0	     	16051	     	21018	     	1711
0	     	0	     	16101	     	21179	     	1748
0	     	0	     	16101	     	21244	     	1739
0	     	0	     	16189	     	21244	     	1685
0	     	0	     	16175	     	21155	     	1687
0	     	0	     	16235	     	20950	     	1687
0	     	0	     	16082	     	21330	     	1713
0	     	0	     	16068	     	21290	     	1754
0	     	0	     	15823	     	21172	     	1666
0	     	0	     	15818	     	21185	     	1716
0	     	0	     	16006	     	21306	     	1768
0	     	0	     	15853	     	20933	     	1697
0	     	0	     	15775	     	21400	     	1722
0	     	0	     	15944	     	21201	     	1675
0	     	0	     	16050	     	21197	     	1694
0	     	0	     	15889	     	21209	     	1755
								
							Promedio =	1713,2
