Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16311	     	     1260	     	        0
        0	     	        0	     	    16412	     	     1304	     	        1
        0	     	        0	     	    16154	     	     1270	     	        3
        0	     	        0	     	    16272	     	     1321	     	        2
        0	     	        0	     	    16335	     	     1309	     	        4
        0	     	        0	     	    16346	     	     1353	     	        1
        0	     	        0	     	    16398	     	     1218	     	        1
        0	     	        0	     	    16510	     	     1348	     	        1
        0	     	        0	     	    16564	     	     1344	     	        0
        0	     	        0	     	    16234	     	     1270	     	        0
        0	     	        0	     	    16023	     	     1303	     	        1
        0	     	        0	     	    16462	     	     1294	     	        1
        0	     	        0	     	    16108	     	     1298	     	        1
        0	     	        0	     	    16303	     	     1311	     	        0
        0	     	        0	     	    16333	     	     1300	     	        2
        0	     	        0	     	    16340	     	     1308	     	        1
        0	     	        0	     	    16371	     	     1241	     	        3
        0	     	        0	     	    16287	     	     1330	     	        2
        0	     	        0	     	    16188	     	     1272	     	        1
        0	     	        0	     	    16094	     	     1205	     	        0
        0	     	        0	     	    16162	     	     1262	     	        2
        0	     	        0	     	    16112	     	     1237	     	        1
        0	     	        0	     	    16263	     	     1302	     	        1
        0	     	        0	     	    16243	     	     1267	     	        2
        0	     	        0	     	    16513	     	     1322	     	        1
        0	     	        0	     	    16451	     	     1260	     	        0
        0	     	        0	     	    16214	     	     1246	     	        1
        0	     	        0	     	    16298	     	     1334	     	        0
        0	     	        0	     	    15971	     	     1267	     	        0
        0	     	        0	     	    16139	     	     1229	     	        1
        0	     	        0	     	    16352	     	     1305	     	        0
        0	     	        0	     	    16105	     	     1295	     	        1
        0	     	        0	     	    16282	     	     1305	     	        2
        0	     	        0	     	    16066	     	     1306	     	        0
        0	     	        0	     	    16198	     	     1255	     	        3
        0	     	        0	     	    16339	     	     1260	     	        2
        0	     	        0	     	    16452	     	     1271	     	        2
        0	     	        0	     	    16393	     	     1206	     	        2
        0	     	        0	     	    16385	     	     1282	     	        1
