Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16572	     	    21890	     	     1377
        0	     	        0	     	    16459	     	    21783	     	     1374
        0	     	        0	     	    16268	     	    22026	     	     1320
        0	     	        0	     	    16328	     	    22101	     	     1308
        0	     	        0	     	    16129	     	    22012	     	     1375
        0	     	        0	     	    16440	     	    21856	     	     1392
        0	     	        0	     	    16272	     	    22006	     	     1366
        0	     	        0	     	    16209	     	    21730	     	     1385
        0	     	        0	     	    16338	     	    22035	     	     1430
        0	     	        0	     	    16219	     	    21828	     	     1370
        0	     	        0	     	    16108	     	    21844	     	     1403
        0	     	        0	     	    16279	     	    22032	     	     1340
        0	     	        0	     	    16523	     	    21813	     	     1388
        0	     	        0	     	    16411	     	    21933	     	     1363
        0	     	        0	     	    16375	     	    21843	     	     1400
        0	     	        0	     	    16190	     	    21800	     	     1383
        0	     	        0	     	    16487	     	    21859	     	     1392
        0	     	        0	     	    16406	     	    22087	     	     1362
        0	     	        0	     	    16350	     	    22335	     	     1421
        0	     	        0	     	    16217	     	    21924	     	     1333
