Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16234	     	    20246	     	     1613
        0	     	        0	     	    16154	     	    20297	     	     1708
        0	     	        0	     	    16168	     	    20597	     	     1637
        0	     	        0	     	    16062	     	    20264	     	     1589
        0	     	        0	     	    16310	     	    20322	     	     1617
        0	     	        0	     	    16103	     	    20407	     	     1597
        0	     	        0	     	    16291	     	    20339	     	     1548
        0	     	        0	     	    16361	     	    20587	     	     1679
        0	     	        0	     	    16150	     	    20021	     	     1547
        0	     	        0	     	    15915	     	    20526	     	     1580
        0	     	        0	     	    15933	     	    20611	     	     1552
        0	     	        0	     	    16040	     	    20581	     	     1667
        0	     	        0	     	    16157	     	    20235	     	     1632
        0	     	        0	     	    16241	     	    20226	     	     1532
        0	     	        0	     	    16096	     	    20574	     	     1510
        0	     	        0	     	    16020	     	    20241	     	     1543
        0	     	        0	     	    16328	     	    20416	     	     1572
        0	     	        0	     	    16100	     	    20143	     	     1563
        0	     	        0	     	    16142	     	    20572	     	     1594
        0	     	        0	     	    16278	     	    20601	     	     1623
