Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    17628	     	    19905	     	     2035
        0	     	        0	     	    17280	     	    20195	     	     1966
        0	     	        0	     	    17599	     	    19898	     	     1970
        0	     	        0	     	    17738	     	    20045	     	     2040
        0	     	        0	     	    17635	     	    20024	     	     2004
        0	     	        0	     	    17720	     	    19895	     	     2009
        0	     	        0	     	    17776	     	    19814	     	     2034
        0	     	        0	     	    17743	     	    19942	     	     1934
        0	     	        0	     	    17552	     	    19895	     	     1970
        0	     	        0	     	    17508	     	    19755	     	     2010
        0	     	        0	     	    17610	     	    19791	     	     1916
        0	     	        0	     	    17635	     	    20146	     	     1993
        0	     	        0	     	    17909	     	    19925	     	     2067
        0	     	        0	     	    17478	     	    19975	     	     2011
        0	     	        0	     	    17849	     	    19767	     	     2009
        0	     	        0	     	    17516	     	    20071	     	     1994
        0	     	        0	     	    17516	     	    19807	     	     1917
        0	     	        0	     	    17551	     	    19970	     	     1966
        0	     	        0	     	    17574	     	    19903	     	     1969
        0	     	        0	     	    17471	     	    19935	     	     2033
