Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    15133	     	    19736	     	       47
        0	     	        0	     	    15096	     	    19808	     	       60
        0	     	        0	     	    14819	     	    19866	     	       48
        0	     	        0	     	    15020	     	    19702	     	       44
        0	     	        0	     	    15270	     	    19692	     	       48
        0	     	        0	     	    15118	     	    19753	     	       52
        0	     	        0	     	    15088	     	    19932	     	       46
        0	     	        0	     	    15017	     	    19695	     	       49
        0	     	        0	     	    14950	     	    20168	     	       47
        0	     	        0	     	    15038	     	    19814	     	       55
        0	     	        0	     	    15124	     	    19938	     	       45
        0	     	        0	     	    15099	     	    19776	     	       43
        0	     	        0	     	    14939	     	    19726	     	       34
        0	     	        0	     	    15005	     	    19586	     	       46
        0	     	        0	     	    15065	     	    19685	     	       59
        0	     	        0	     	    14836	     	    19658	     	       43
        0	     	        0	     	    15290	     	    19793	     	       56
        0	     	        0	     	    15201	     	    19683	     	       56
        0	     	        0	     	    15217	     	    19804	     	       65
        0	     	        0	     	    14956	     	    19551	     	       60
