Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
0	     	0	     	16816	     	22594	     	59
0	     	0	     	17430	     	22684	     	56
0	     	0	     	17213	     	22878	     	46
0	     	0	     	17300	     	22684	     	49
0	     	0	     	17295	     	22865	     	53
0	     	0	     	17290	     	22906	     	56
0	     	0	     	17451	     	22789	     	48
0	     	0	     	17223	     	22865	     	47
0	     	0	     	17244	     	22892	     	46
0	     	0	     	17322	     	22586	     	51
0	     	0	     	17435	     	22590	     	51
0	     	0	     	17115	     	22857	     	44
0	     	0	     	17229	     	22637	     	41
0	     	0	     	17193	     	22837	     	57
0	     	0	     	17631	     	22612	     	35
0	     	0	     	17390	     	22636	     	56
0	     	0	     	17006	     	22840	     	50
0	     	0	     	17467	     	22560	     	45
0	     	0	     	17402	     	22878	     	59
0	     	0	     	17413	     	22665	     	60
								
							Promedio	50,45
