Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    17563	     	    22557	     	       43
        0	     	        0	     	    17505	     	    22669	     	       60
        0	     	        0	     	    17402	     	    22475	     	       54
        0	     	        0	     	    17623	     	    22773	     	       51
        0	     	        0	     	    17427	     	    22436	     	       39
        0	     	        0	     	    17775	     	    22805	     	       54
        0	     	        0	     	    17412	     	    22231	     	       34
        0	     	        0	     	    17316	     	    22556	     	       47
        0	     	        0	     	    17271	     	    22650	     	       50
        0	     	        0	     	    17634	     	    22693	     	       46
        0	     	        0	     	    17358	     	    22656	     	       44
        0	     	        0	     	    17492	     	    22654	     	       41
        0	     	        0	     	    17606	     	    22551	     	       47
        0	     	        0	     	    17439	     	    22710	     	       55
        0	     	        0	     	    17282	     	    22645	     	       41
        0	     	        0	     	    17459	     	    22472	     	       31
        0	     	        0	     	    17554	     	    22411	     	       49
        0	     	        0	     	    17311	     	    22370	     	       31
        0	     	        0	     	    17602	     	    22793	     	       38
        0	     	        0	     	    17496	     	    22647	     	       58
