Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
0	     	0	     	16112	     	21384	     	1855
0	     	0	     	16078	     	21179	     	1812
0	     	0	     	16156	     	21127	     	1786
0	     	0	     	16247	     	21057	     	1755
0	     	0	     	16145	     	21280	     	1813
0	     	0	     	16362	     	21620	     	1939
0	     	0	     	16363	     	21236	     	1857
0	     	0	     	16325	     	21464	     	1895
0	     	0	     	16148	     	21363	     	1859
0	     	0	     	16262	     	21323	     	1836
0	     	0	     	16395	     	21447	     	1893
0	     	0	     	16098	     	21427	     	1844
0	     	0	     	16377	     	21443	     	1859
0	     	0	     	16220	     	21325	     	1838
0	     	0	     	16190	     	21406	     	1863
0	     	0	     	16054	     	21355	     	1849
0	     	0	     	16213	     	21398	     	1873
0	     	0	     	16094	     	21153	     	1927
0	     	0	     	15959	     	21205	     	1849
0	     	0	     	16188	     	21172	     	1777
								
							Promedio =	1848,95
